"시군구별(1)",시군구별(2),2023,2023,2023,2023,2023,2023,2023
"시군구별(1)",시군구별(2),신고인원 (명),총수입금액 (백만원),종합소득금액 (백만원),과세표준 (백만원),산출세액 (백만원),세액공제 및 감면 (백만원),결정세액 (백만원)
"강원",춘천시,55818,6241411,1525494,1180000,185692,42873,143128
"강원",태백시,5756,752481,150863,114742,16182,4094,12103
"강원",평창군,7357,875789,190891,151410,24564,4358,20241
"강원",홍천군,11649,1354142,281619,218166,31721,7431,24351
"강원",화천군,3518,380493,80157,59945,7501,1935,5579
"강원",횡성군,7795,940160,189941,148258,22269,5021,17291
"대전",소계,305068,38579504,9412136,7527931,1352050,299074,1054593
"대전",대덕구,34659,4179487,816964,623138,87402,25254,62275
"대전",동구,40888,4626751,936744,710311,101203,29065,72283
"대전",서구,101084,12355205,3022398,2409232,430170,95366,335318
"대전",유성구,83798,11969609,3432130,2843026,579948,113097,467497
"대전",중구,44639,5448453,1203899,942224,153326,36292,117220
"충북",소계,305162,40882917,8656838,6822495,1119349,278886,841807
"충북",괴산군,5570,643997,127758,98499,13460,3159,10321
"충북",단양군,4279,519985,100984,77994,10507,2629,7899
"충북",보은군,4361,497658,96317,73589,9894,2547,7396
"충북",영동군,6043,735077,142966,109937,15545,4234,11339
"충북",옥천군,7815,1047554,192498,148865,21771,6057,15745
"충북",음성군,18289,4324594,505427,403607,66158,15902,50331
"충북",제천시,23116,3085098,606702,471445,70476,16312,54249
"충북",증평군,6888,856352,178877,138548,21897,9511,12408
"충북",진천군,17977,2390798,498140,390945,60993,16916,44149
"충북",청주시,171602,21874635,5140719,4076689,694973,171302,524478
"충북",충주시,39222,4907169,1066448,832376,133676,30316,103493
"충남",소계,429517,54434745,12143948,9590529,1571897,372407,1201341
"충남",계룡시,8491,869529,243126,183790,25889,6538,19396
"충남",공주시,17705,2073829,446548,348291,53543,12625,40976
"충남",금산군,7831,995245,182258,141204,21888,5198,16715
"충남",논산시,17369,2219343,409236,312042,43117,12001,31166
"충남",당진시,33127,4218043,899378,703013,106405,25392,81137
"충남",보령시,16590,2492453,421104,330053,49995,11153,38896
"충남",부여군,8451,1074805,190249,145677,20024,5258,14792
"충남",서산시,32329,4283192,1005126,798772,128894,29622,99423
"충남",서천군,7043,1080863,174558,137924,21169,4714,16473
"충남",아산시,79974,9174236,2321635,1827769,297318,73806,223877
"충남",예산군,13495,1787933,334953,262633,39714,9270,30498
"충남",천안시,154756,19778254,4696478,3758460,665260,154470,511559
"충남",청양군,4202,514621,94153,72102,9386,2474,6932
"충남",태안군,10615,1541033,262369,208789,32721,6374,26385
"충남",홍성군,17539,2331367,462777,360012,56572,13512,43116
"세종",소계,74123,9125795,2649768,2083501,363861,82398,281903
"광주",소계,280681,38448048,8783257,7019158,1328389,265801,1063815
"광주",광산구,78852,10376477,2209128,1706596,280475,69507,211260
"광주",남구,38848,6445196,1559132,1302628,296430,47211,249424
"광주",동구,21324,2837651,719780,583698,112473,20551,92053
"광주",북구,82830,10214192,2284066,1782451,308611,70830,238061
