"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"아프리카",세네갈,1.400,1.800,-2.400,3.100,2.200,1.900,0.000,0.500,1.300,0.300,1.000,-1.200,1.300,-0.600,2.900,3.200,3.200,4.300,3.300,1.800,-1.300,3.900,1.300,1.900
"아프리카",남아프리카공화국,3.300,1.800,2.700,1.900,3.500,4.200,4.500,4.300,2.000,-2.700,1.800,1.900,0.900,0.800,-0.300,-0.700,-0.300,0.500,-0.100,-1.400,-7.500,3.100,0.500,-0.700
"아프리카",수단,-,-,-,-,-,-,-,-,-,5.500,5.700,-4.800,-1.400,4.400,4.200,0.900,0.500,1.100,-0.700,-1.700,-6.200,-4.500,-3.600,-13.200
"아프리카",탄자니아,2.000,3.300,4.500,4.100,4.900,4.400,1.800,5.400,2.700,2.800,3.600,4.900,2.200,3.500,3.500,2.800,3.300,3.200,3.700,3.800,1.400,1.700,1.700,2.100
"아프리카",토고,-3.700,-1.800,1.200,4.100,-3.500,4.200,12.000,7.700,1.100,2.500,3.000,3.000,3.500,3.100,3.000,2.800,3.100,1.400,2.200,2.400,-0.300,3.500,3.300,4.000
"아프리카",튀니지,3.100,2.700,0.300,3.700,5.200,2.600,4.300,5.700,3.200,2.000,2.400,-1.900,4.100,2.800,2.900,1.200,4.900,1.200,1.600,0.600,-9.400,3.700,2.000,-0.200
"아프리카",잠비아,1.000,2.200,1.300,3.700,3.700,3.800,4.200,4.600,4.000,5.400,6.500,2.100,4.200,1.700,1.400,-0.200,0.600,0.400,1.000,-1.500,-5.600,1.700,3.900,3.000
"아프리카",짐바브웨,-9.000,-0.900,-6.800,-8.600,-4.700,-5.000,-4.800,-4.500,-5.900,57.300,17.800,12.200,14.800,0.600,1.000,0.400,-0.600,3.200,3.200,-7.600,-9.300,6.600,4.300,3.600
"오세아니아",오스트레일리아,0.800,2.700,1.900,3.000,2.000,1.500,2.300,1.800,-0.100,0.300,0.700,2.400,0.900,0.900,0.600,1.200,0.700,1.200,0.600,-1.500,1.100,3.400,2.500,0.500
"오세아니아",피지,-2.800,1.000,2.200,0.000,4.300,-0.200,0.900,-1.700,0.400,-1.800,2.600,2.400,1.200,4.600,5.500,4.400,2.400,5.400,4.000,-0.300,-17.000,-5.100,19.400,7.000
"오세아니아",뉴질랜드,1.700,3.000,3.500,2.800,1.700,1.900,1.100,2.800,-2.600,1.000,-0.100,1.800,1.900,1.100,2.100,2.200,1.600,2.200,2.000,0.700,-1.500,3.900,2.200,-0.100
"오세아니아",파푸아뉴기니,-5.800,-3.400,-1.400,1.000,-2.700,0.600,-0.900,4.500,-3.300,3.600,6.900,-1.800,1.800,1.100,10.600,3.900,2.900,1.100,-2.600,2.100,-5.200,-2.700,3.200,0.800
