"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"아시아",스리랑카,4.100,-2.900,2.900,5.200,4.700,5.600,7.700,6.800,5.900,3.600,8.100,8.000,7.800,3.100,5.400,3.300,4.200,5.600,1.500,-0.900,-5.300,3.600,-7.900,-2.900
"아시아",시리아,-1.800,1.300,5.300,-1.800,4.300,3.500,0.600,-0.600,0.800,4.300,2.800,1.100,-26.000,-22.600,-4.100,0.000,-3.800,0.700,1.100,-1.100,-2.000,-0.900,-3.000,-8.600
"아시아",태국,3.300,2.400,5.100,6.200,5.300,3.300,4.100,4.600,0.900,-1.400,6.800,0.200,6.600,2.100,0.500,2.700,3.000,3.700,3.900,1.900,-6.200,1.400,2.500,1.900
"아시아",튀르키예,5.600,-6.900,5.200,4.500,8.600,7.800,5.900,4.000,-0.300,-6.000,7.100,9.900,3.400,6.800,2.700,3.500,1.300,5.600,1.400,-0.300,1.000,10.700,5.100,4.900
"아시아",투르크메니스탄,3.400,2.300,-1.700,1.300,3.000,10.900,8.900,9.000,12.600,4.100,13.800,10.500,3.800,-2.500,1.500,0.700,-3.200,4.100,3.800,4.000,3.700,4.100,4.200,4.400
"아시아",아랍에미리트,4.900,-4.900,-3.600,2.700,3.700,-0.400,2.300,-8.100,-6.800,-9.900,-0.600,2.400,-2.200,0.600,-1.000,1.400,1.400,-1.500,0.100,0.800,-5.700,0.700,2.800,-0.300
"아시아",우즈베키스탄,2.700,3.200,2.900,3.000,6.100,5.600,7.400,9.300,8.700,7.800,8.200,5.900,5.500,5.600,5.100,5.400,4.100,2.600,4.100,4.100,0.100,5.300,3.600,3.900
"아시아",베트남,5.600,5.800,6.000,6.300,6.500,6.600,10.700,10.400,8.800,8.900,10.400,5.200,4.300,4.300,5.100,5.700,5.400,5.600,6.300,6.300,1.900,1.700,7.300,4.300
"아시아",예멘,4.400,2.800,2.000,2.700,1.600,1.900,1.300,0.200,0.700,-1.700,0.900,-17.800,-4.100,2.200,-13.900,-38.000,-17.500,-13.200,-3.700,-1.500,-1.700,-3.700,-1.400,-4.900
"북아메리카",캐나다,4.100,0.800,1.900,0.800,2.100,2.200,1.600,1.000,-0.100,-4.000,2.000,2.100,0.700,1.300,1.900,-0.300,0.000,1.800,1.400,0.600,-6.000,4.500,2.800,0.000
"북아메리카",멕시코,3.400,-1.900,-1.700,-0.200,2.200,0.700,3.400,0.700,-0.500,-7.700,3.500,2.000,2.200,-0.400,1.300,1.600,0.800,0.900,1.000,-1.300,-9.100,5.300,2.900,2.400
"북아메리카",미국,3.100,0.000,0.700,1.800,2.800,2.500,1.700,1.000,-0.900,-3.500,1.700,0.600,1.300,1.200,1.600,2.000,0.900,1.500,2.100,1.800,-2.600,5.800,2.100,2.300
"남아메리카",앤티가바부다,-0.500,-4.700,1.600,4.800,4.200,6.700,11.400,10.400,1.700,-11.200,-6.900,-0.800,2.300,-1.500,1.400,0.700,3.500,1.900,6.400,2.600,-19.300,7.600,9.000,3.300
"남아메리카",아르헨티나,-1.900,-5.500,-11.800,7.700,7.900,7.700,6.900,7.900,3.000,-6.900,9.000,4.900,-2.000,1.400,-3.500,1.700,-3.000,1.900,-3.400,-2.700,-10.300,10.100,5.000,-1.900
"남아메리카",바하마,2.800,1.400,1.500,-2.400,-0.400,2.200,1.200,0.000,-3.600,-5.400,0.200,-0.500,2.000,-3.800,1.000,0.200,-1.700,2.200,2.000,-1.800,-21.700,15.300,10.500,2.200
"남아메리카",바베이도스,4.600,-2.500,0.100,1.500,0.800,3.400,5.200,5.200,3.600,-2.300,0.700,-1.100,-0.600,-1.300,-0.200,-1.100,1.600,-0.100,-1.400,0.500,-15.200,-0.400,17.800,4.100
"남아메리카",볼리비아,0.800,0.000,0.800,1.000,2.400,2.700,3.000,2.800,4.400,1.700,2.400,3.500,3.500,5.100,3.800,3.300,2.700,2.700,2.700,0.800,-9.900,5.000,2.400,1.700
"남아메리카",브라질,3.000,0.100,1.800,0.000,4.600,2.100,2.900,5.000,4.100,-1.000,6.600,3.100,1.100,2.200,-0.300,-4.300,-4.000,0.600,1.100,0.600,-3.800,4.300,2.600,2.800
"남아메리카",칠레,3.700,2.000,2.100,3.600,5.600,4.800,5.000,4.100,2.800,-2.100,4.800,5.200,5.100,2.300,0.800,1.100,0.500,-0.200,2.100,-1.000,-7.000,10.800,1.600,-0.300
